experience,js,react,node,python,ts,sql,mongodb,docker,aws,git,nextjs,tailwind,redux,graphql,kubernetes,cicd,testing,azure,agile,salary
4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,62000
12,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,119000
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,29000
2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,23000
1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,20000
14,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,134000
12,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,132000
5,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,58000
5,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,57000
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,127000
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,82000
9,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,91000
9,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,90000
3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,29000
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23000
3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,56000
4,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,49000
8,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,76000
6,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,70000
8,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,78000
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,17000
8,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,94000
4,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,45000
11,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,114000
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15000
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96000
4,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,50000
6,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,69000
8,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,91000
4,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,43000
14,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,140000
3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,35000
14,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,136000
9,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,105000
3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,24000
9,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,89000
13,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,137000
2,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,32000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,143000
2,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,36000
2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,23000
6,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,68000
3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,52000
13,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,119000
9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,86000
4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,36000
1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,24000
4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,65000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13000
14,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,140000
5,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,41000
4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,57000
8,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,82000
8,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,86000
7,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,74000
3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,43000
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,19000
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,36000
12,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,117000
11,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,118000
3,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,48000
6,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,63000
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,90000
6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,79000
14,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,139000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,143000
6,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,67000
6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,79000
13,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,126000
3,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,45000
6,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,71000
8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,73000
11,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,110000
11,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,107000
2,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,39000
5,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,57000
14,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,142000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15000
12,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,125000
1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,23000
5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,52000
12,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,120000
13,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,126000
3,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,50000
4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,31000
3,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,37000
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,18000
1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,31000
12,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,115000
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,134000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,140000
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,151000
14,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,132000
5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,74000
6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,83000
3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,28000
12,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,95000
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98000
5,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,51000
8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,73000
13,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,123000
1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,31000
14,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,141000
5,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,50000
